Section ID,Section,HS2 ID,HS2,HS4 ID,HS4,Trade Value
1,Animal Products,101,Animals; live,10101,Horses,572201483
1,Animal Products,101,Animals; live,10102,Bovine,58259938
1,Animal Products,101,Animals; live,10103,Pigs,481659553
1,Animal Products,101,Animals; live,10104,Sheep and Goats,408731
1,Animal Products,101,Animals; live,10105,Poultry,1929340
1,Animal Products,101,Animals; live,10106,Other Animals,37006667
1,Animal Products,102,Meat and edible meat offal,10201,Bovine Meat,141895
1,Animal Products,102,Meat and edible meat offal,10202,Frozen Bovine Meat,6551203
1,Animal Products,102,Meat and edible meat offal,10203,Pig Meat,87982447
1,Animal Products,102,Meat and edible meat offal,10204,Sheep and Goat Meat,18913550
1,Animal Products,102,Meat and edible meat offal,10205,Horse Meat,1497853
1,Animal Products,102,Meat and edible meat offal,10206,Edible Offal,1484470
1,Animal Products,102,Meat and edible meat offal,10207,Poultry Meat,548751571
1,Animal Products,102,Meat and edible meat offal,10208,Other Meat,43976202
1,Animal Products,102,Meat and edible meat offal,10209,Animal Fat,154548
1,Animal Products,102,Meat and edible meat offal,10210,Preserved Meat,9051365
1,Animal Products,103,Aquatic Animals,10301,Live Fish,570361070
1,Animal Products,103,Aquatic Animals,10302,Non-fillet Fresh Fish,189339630
1,Animal Products,103,Aquatic Animals,10303,Non-fillet Frozen Fish,2029206475
1,Animal Products,103,Aquatic Animals,10304,Fish Fillets,3407469268
1,Animal Products,103,Aquatic Animals,10305,Processed Fish,392259885
1,Animal Products,103,Aquatic Animals,10306,Crustaceans,703911176
1,Animal Products,103,Aquatic Animals,10307,Molluscs,1935512427
1,Animal Products,104,Edible Animal By-Products,10401,Milk,22464283
1,Animal Products,104,Edible Animal By-Products,10402,Concentrated Milk,56671349
1,Animal Products,104,Edible Animal By-Products,10403,Fermented Milk Products,13235890
1,Animal Products,104,Edible Animal By-Products,10404,Whey and other milk products,1712036
1,Animal Products,104,Edible Animal By-Products,10405,Butter,4427430
1,Animal Products,104,Edible Animal By-Products,10406,Cheese,4523109
1,Animal Products,104,Edible Animal By-Products,10407,Eggs,155816919
1,Animal Products,104,Edible Animal By-Products,10408,Processed Egg Products,18291170
1,Animal Products,104,Edible Animal By-Products,10409,Honey,228548516
1,Animal Products,104,Edible Animal By-Products,10410,Other Edible Animal Products,71017452
1,Animal Products,105,Other Animal Products,10501,Human Hair,4763912
1,Animal Products,105,Other Animal Products,10502,Pig Hair,72739586
1,Animal Products,105,Other Animal Products,10504,Animal Organs,941693370
1,Animal Products,105,Other Animal Products,10505,Bird Feathers and Skins,566202431
1,Animal Products,105,Other Animal Products,10506,Processed Bones,1885344
1,Animal Products,105,Other Animal Products,10507,Raw Bones,12914663
1,Animal Products,105,Other Animal Products,10508,Coral and Shells,10479896
1,Animal Products,105,Other Animal Products,10510,Pharmaceutical Animal Products,5147773
